"Origin_city","Destination_city"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Tucson, AZ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Toledo, OH","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Tucson, AZ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Bangor, ME","Miami, FL"
"Bangor, ME","Miami, FL"
"Bangor, ME","Miami, FL"
"Austin, TX","Miami, FL"
"Tulsa, OK","Miami, FL"
"Tulsa, OK","Miami, FL"
"Tulsa, OK","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
"Boston, MA","Miami, FL"
"Dallas, TX","Miami, FL"
"Dallas, TX","Miami, FL"
